Gene ID,0.5_lowLight,2_lowLight,4_lowLight,6_lowLight,8_lowLight,9_lowLight,10_lowLight,12_lowLight,0.5_ClearLight,2_ClearLight,4_ClearLight,6_ClearLight,8_ClearLight,9_ClearLight,10_ClearLight,12_ClearLight
 Synpcc7942_0581 ,0.10,0.07,0.11,0.25,0.70,0.72,0.82,0.60,0.12,0.12,0.09,0.18,0.39,0.63,0.78,1.45
 Synpcc7942_0582 ,0.04,0.05,0.05,0.04,0.03,0.05,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.08
 Synpcc7942_0583 ,1.42,1.34,1.29,1.11,0.87,0.98,1.12,1.14,0.86,2.21,1.87,1.80,1.39,1.07,0.96,0.68
 Synpcc7942_0584 ,0.64,0.73,0.68,0.53,0.31,0.31,0.37,0.37,0.50,0.91,0.84,0.80,0.60,0.46,0.40,0.14
 Synpcc7942_0585 ,0.90,1.47,1.40,1.17,0.95,0.82,0.78,0.74,0.98,0.99,1.46,1.22,1.65,1.76,1.67,1.79
 Synpcc7942_0586 ,0.03,0.05,0.11,0.13,0.11,0.05,0.08,0.07,0.07,0.03,0.04,0.07,0.08,0.07,0.07,0.07
 Synpcc7942_0587 ,0.49,0.46,0.46,0.40,0.34,0.32,0.38,0.31,0.53,0.71,0.59,0.58,0.48,0.40,0.36,0.20
 Synpcc7942_0588 ,0.70,0.44,0.59,0.64,0.51,0.54,0.51,0.50,0.25,0.75,0.79,0.71,0.61,0.49,0.44,0.11
 Synpcc7942_0589 ,0.22,0.18,0.14,0.15,0.32,0.49,0.55,0.47,0.27,0.21,0.16,0.16,0.16,0.24,0.44,1.23
 Synpcc7942_0590 ,0.25,0.63,0.65,0.55,0.75,1.04,1.22,0.96,0.51,0.75,0.58,0.70,0.61,0.64,0.94,1.78
 Synpcc7942_0591 ,0.17,0.51,0.56,0.48,0.50,0.77,0.81,0.74,0.33,0.77,0.56,0.60,0.63,0.58,0.71,0.88
 Synpcc7942_0592 ,0.25,0.19,0.29,0.39,0.27,0.23,0.19,0.22,0.16,0.20,0.28,0.29,0.33,0.28,0.24,0.38
 Synpcc7942_0593 ,0.55,0.70,1.13,1.19,0.85,0.59,0.48,0.49,0.50,0.54,0.65,0.74,0.96,0.84,0.60,0.31
 Synpcc7942_0594 ,0.30,0.24,0.28,0.47,0.49,0.38,0.31,0.29,0.29,0.17,0.20,0.24,0.43,0.52,0.44,0.44
 Synpcc7942_0595 ,0.46,0.40,0.67,1.28,1.17,0.80,0.59,0.57,0.47,0.31,0.39,0.53,1.13,1.33,1.05,0.90
 Synpcc7942_0596 ,0.18,0.11,0.11,0.11,0.14,0.15,0.17,0.17,0.26,0.28,0.23,0.22,0.14,0.13,0.15,0.16
 Synpcc7942_0597 ,0.20,0.33,0.32,0.31,0.18,0.21,0.23,0.29,0.15,0.34,0.34,0.32,0.31,0.25,0.21,0.12
 Synpcc7942_0598 ,2.58,1.71,2.42,2.35,1.58,1.20,1.35,1.56,2.22,1.39,1.94,2.33,2.28,2.02,1.46,0.72
 Synpcc7942_0599 ,0.08,0.07,0.09,0.24,1.39,2.30,2.34,2.14,0.14,0.05,0.06,0.12,0.44,0.91,2.01,8.37
 Synpcc7942_0600 ,0.16,0.13,0.11,0.12,0.16,0.19,0.20,0.17,0.29,0.11,0.11,0.11,0.14,0.13,0.19,0.44
 Synpcc7942_0601 ,0.06,0.04,0.07,0.03,0.06,0.05,0.04,0.01,0.11,0.04,0.02,0.01,0.03,0.06,0.03,0.11
 Synpcc7942_0602 ,0.52,0.90,1.00,0.99,0.68,0.59,0.62,0.67,0.58,0.86,1.03,0.94,0.91,0.84,0.70,0.48
 Synpcc7942_0603 ,0.98,2.05,2.34,2.22,1.40,1.28,1.33,1.27,1.34,1.98,2.24,2.32,2.05,2.11,1.87,0.98
 Synpcc7942_0604 ,2.65,4.27,3.95,3.82,2.63,2.61,2.51,2.68,1.84,4.98,4.25,4.05,3.60,3.29,2.97,1.46
 Synpcc7942_0605 ,0.16,0.12,0.12,0.12,0.08,0.10,0.09,0.09,0.16,0.11,0.15,0.11,0.09,0.09,0.11,0.08
 Synpcc7942_0606 ,0.11,0.11,0.10,0.12,0.06,0.08,0.08,0.07,0.11,0.09,0.10,0.12,0.12,0.07,0.07,0.07
 Synpcc7942_0607 ,0.40,0.82,0.88,0.78,0.90,0.69,0.82,0.77,0.33,0.24,0.24,0.31,0.46,0.51,0.60,2.72
 Synpcc7942_0608 ,0.82,0.72,0.63,0.78,0.80,0.73,0.73,0.74,0.84,0.58,0.63,0.67,0.76,0.78,0.78,1.26
 Synpcc7942_0609 ,0.48,0.67,0.68,0.51,0.40,0.39,0.42,0.50,0.34,0.65,0.68,0.64,0.60,0.48,0.43,0.27
 Synpcc7942_0610 ,1.24,0.36,0.35,0.34,0.31,0.30,0.23,0.26,1.16,0.31,0.43,0.32,0.37,0.32,0.31,0.16
 Synpcc7942_0611 ,0.44,0.18,0.19,0.18,0.18,0.15,0.14,0.16,0.38,0.23,0.22,0.20,0.19,0.15,0.14,0.14
 Synpcc7942_0612 ,0.69,0.84,0.79,0.60,0.45,0.44,0.49,0.58,0.76,0.75,0.79,0.81,0.62,0.53,0.48,0.32
 Synpcc7942_0613 ,0.13,0.24,0.22,0.22,0.14,0.16,0.15,0.16,0.11,0.27,0.24,0.24,0.16,0.17,0.17,0.13
 Synpcc7942_0614 ,0.31,0.55,0.59,0.45,0.31,0.35,0.37,0.35,0.21,0.50,0.59,0.55,0.47,0.43,0.41,0.32
 Synpcc7942_0615 ,0.36,0.56,0.47,0.50,0.24,0.32,0.37,0.44,0.25,0.72,0.58,0.59,0.45,0.35,0.29,0.12
 Synpcc7942_0616 ,0.27,0.32,0.32,0.27,0.22,0.18,0.21,0.20,0.25,0.35,0.36,0.31,0.28,0.22,0.22,0.12
 Synpcc7942_0617 ,0.21,0.24,0.18,0.29,0.39,0.43,0.37,0.33,0.30,0.18,0.22,0.19,0.21,0.29,0.41,0.62
 Synpcc7942_0618 ,3.00,2.84,2.70,2.71,2.25,2.52,2.71,2.85,2.46,3.64,3.78,3.51,2.80,2.70,2.84,1.93
 Synpcc7942_0619 ,1.78,1.72,1.68,1.72,1.58,1.77,1.78,1.83,1.54,2.55,2.36,2.22,1.91,1.81,1.97,1.30
 Synpcc7942_0620 ,0.74,0.91,0.93,0.95,1.00,1.05,1.14,0.94,0.75,0.80,0.90,0.85,0.93,0.95,1.16,2.32
 Synpcc7942_0621 ,0.37,0.35,0.32,0.32,0.41,0.50,0.49,0.48,0.42,0.34,0.36,0.35,0.33,0.41,0.52,0.91
 Synpcc7942_0622 ,0.37,0.51,0.48,0.54,0.49,0.55,0.62,0.55,0.51,0.57,0.57,0.57,0.51,0.55,0.64,0.95
 Synpcc7942_0623 ,0.23,0.34,0.37,0.38,0.33,0.29,0.26,0.27,0.25,0.34,0.35,0.37,0.40,0.44,0.39,0.46
 Synpcc7942_0624 ,0.67,0.56,0.50,0.45,0.49,0.50,0.41,0.57,0.65,0.42,0.35,0.44,0.43,0.42,0.53,0.97
 Synpcc7942_0625 ,0.86,0.42,0.39,0.41,0.46,0.48,0.47,0.51,1.28,0.42,0.50,0.49,0.49,0.51,0.53,0.67
 Synpcc7942_0626 ,0.76,0.93,0.85,0.78,0.64,0.76,0.79,0.78,0.86,1.13,1.05,1.02,0.85,0.86,0.85,1.09
 Synpcc7942_0627 ,0.34,0.12,0.07,0.06,0.07,0.09,0.09,0.10,0.18,0.26,0.18,0.14,0.07,0.06,0.07,0.04
 Synpcc7942_0628 ,0.50,0.24,0.29,0.31,0.29,0.32,0.31,0.31,0.34,0.55,0.49,0.46,0.42,0.39,0.36,0.28
 Synpcc7942_0629 ,0.26,0.13,0.17,0.17,0.16,0.06,0.08,0.10,0.24,0.07,0.09,0.10,0.13,0.16,0.07,0.08
 Synpcc7942_0630 ,0.32,0.20,0.52,0.59,0.37,0.22,0.17,0.16,0.25,0.23,0.29,0.39,0.46,0.43,0.25,0.12
 Synpcc7942_0631 ,16.19,22.35,12.88,11.11,9.77,14.52,18.72,16.71,2.21,56.01,36.76,31.16,19.97,13.93,11.70,7.27
 Synpcc7942_0632 ,15.89,18.85,10.35,9.55,8.04,12.38,15.37,15.95,1.92,49.89,32.38,28.11,17.13,11.90,9.90,5.99
 Synpcc7942_0633 ,9.76,10.26,6.65,6.67,5.96,8.00,9.56,10.21,3.32,24.30,15.66,14.18,9.34,7.00,6.43,4.41
 Synpcc7942_0634 ,6.93,7.59,5.74,5.44,5.09,6.41,8.15,7.20,4.20,18.30,12.88,11.18,7.83,6.34,5.77,4.52
 Synpcc7942_0635 ,9.91,11.45,8.95,8.58,8.42,10.37,11.60,10.23,6.32,24.08,17.66,15.68,11.68,9.87,9.22,7.88
 Synpcc7942_0636 ,10.70,10.31,8.29,7.87,7.33,9.39,9.72,11.17,5.92,20.76,13.85,14.18,10.53,8.87,8.70,8.31
 Synpcc7942_0637 ,0.54,0.51,0.41,0.38,0.42,0.48,0.49,0.56,0.59,0.58,0.54,0.51,0.46,0.49,0.52,0.60
 Synpcc7942_0638 ,0.72,0.75,0.61,0.68,0.75,0.91,0.78,0.74,0.86,0.60,0.78,0.71,0.71,0.85,0.97,1.49
 Synpcc7942_0639 ,3.93,3.21,3.02,2.14,1.29,1.37,1.68,1.64,3.33,6.61,5.63,4.18,2.67,2.11,1.80,0.51
 Synpcc7942_0640 ,0.40,0.27,0.21,0.21,0.22,0.26,0.26,0.29,0.41,0.42,0.38,0.31,0.24,0.26,0.30,0.38
 Synpcc7942_0641 ,0.23,0.18,0.16,0.15,0.17,0.20,0.20,0.22,0.28,0.18,0.21,0.18,0.18,0.17,0.19,0.21
 Synpcc7942_0642 ,0.80,0.48,0.39,0.43,0.48,0.51,0.46,0.52,1.12,0.48,0.58,0.60,0.57,0.58,0.63,0.83
 Synpcc7942_0643 ,0.68,0.81,0.50,0.49,0.65,0.72,0.68,0.82,0.88,0.64,0.47,0.49,0.54,0.53,0.65,1.18
 Synpcc7942_0644 ,0.17,0.19,0.20,0.34,0.67,0.73,0.80,0.65,0.30,0.18,0.17,0.21,0.39,0.55,0.70,1.67
 Synpcc7942_0645 ,1.49,4.07,3.78,4.09,3.50,3.66,3.42,3.65,1.19,3.07,3.37,3.48,3.52,3.76,3.88,4.79
 Synpcc7942_0646 ,1.31,2.34,2.55,2.36,2.51,2.30,2.50,2.50,1.06,1.86,1.99,1.96,2.16,2.16,2.61,3.61
 Synpcc7942_0647 ,0.36,0.33,0.28,0.38,1.09,1.61,1.70,1.61,0.55,0.33,0.34,0.36,0.42,0.67,1.43,4.27
 Synpcc7942_0648 ,0.08,0.05,0.08,0.07,0.30,0.36,0.50,0.22,0.19,0.09,0.08,0.08,0.12,0.19,0.41,0.86
 Synpcc7942_0649 ,9.97,6.28,6.81,9.32,9.79,9.51,8.83,7.60,12.54,7.80,6.41,6.35,7.68,8.62,8.26,7.90
 Synpcc7942_0650 ,0.10,0.04,0.09,0.09,0.09,0.07,0.06,0.05,0.18,0.05,0.07,0.12,0.11,0.12,0.09,0.11
 Synpcc7942_0651 ,0.08,0.07,0.08,0.08,0.11,0.10,0.10,0.09,0.09,0.05,0.05,0.06,0.07,0.07,0.08,0.21
 Synpcc7942_0652 ,0.29,0.26,0.22,0.22,0.26,0.29,0.28,0.27,0.41,0.28,0.27,0.25,0.25,0.26,0.29,0.28
 Synpcc7942_0653 ,0.54,0.66,0.65,0.72,0.67,0.71,0.70,0.66,0.85,0.71,0.77,0.73,0.83,0.84,0.85,0.89
 Synpcc7942_0654 ,0.43,0.49,0.51,0.55,0.43,0.47,0.54,0.43,0.55,0.61,0.58,0.67,0.65,0.69,0.69,0.57
 Synpcc7942_0655 ,0.03,0.09,0.25,0.24,0.13,0.09,0.07,0.07,0.02,0.05,0.05,0.11,0.10,0.11,0.09,0.07
 Synpcc7942_0656 ,4.74,20.06,28.29,33.89,24.72,21.96,17.84,15.58,3.57,19.93,25.03,26.66,25.11,24.98,21.51,16.65
 Synpcc7942_0657 ,7.66,11.93,10.37,8.44,7.88,7.20,8.03,6.33,11.67,10.63,6.39,4.20,3.90,4.58,5.56,19.67
 Synpcc7942_0658 ,0.98,1.78,1.36,1.06,1.19,1.29,1.36,2.06,0.72,1.35,0.99,1.12,1.01,0.90,1.05,1.26
 Synpcc7942_0659 ,0.30,0.23,0.20,0.16,0.14,0.12,0.13,0.16,0.40,0.13,0.12,0.12,0.12,0.11,0.10,0.12
 Synpcc7942_0660 ,0.23,0.36,0.30,0.23,0.30,0.30,0.30,0.32,0.22,0.33,0.27,0.23,0.24,0.22,0.29,0.46
 Synpcc7942_0661 ,0.30,0.21,0.21,0.22,0.24,0.23,0.22,0.22,0.36,0.19,0.18,0.18,0.19,0.20,0.20,0.31
 Synpcc7942_0662 ,0.36,0.57,0.73,1.01,1.33,1.33,1.25,1.07,0.35,0.33,0.39,0.46,0.73,0.95,1.23,3.85
 Synpcc7942_0663 ,0.19,0.13,0.17,0.15,0.17,0.18,0.15,0.16,0.13,0.09,0.10,0.11,0.11,0.12,0.14,0.14
 Synpcc7942_0664 ,0.13,0.09,0.13,0.11,0.11,0.12,0.11,0.10,0.10,0.07,0.09,0.08,0.09,0.10,0.10,0.11
 Synpcc7942_0665 ,0.43,0.34,0.34,0.35,0.29,0.24,0.28,0.22,0.53,0.31,0.31,0.33,0.29,0.33,0.24,0.29
 Synpcc7942_0666 ,0.15,0.16,0.16,0.15,0.13,0.14,0.12,0.16,0.23,0.10,0.11,0.13,0.11,0.12,0.10,0.15
 Synpcc7942_0667 ,4.35,3.84,4.00,5.00,4.40,4.19,4.24,4.40,4.86,2.64,2.54,2.83,3.30,3.36,3.81,8.65
 Synpcc7942_0668 ,0.17,0.30,0.64,0.76,1.50,0.99,0.79,0.89,0.07,0.08,0.04,0.15,0.55,0.79,0.92,1.16
 Synpcc7942_0669 ,0.33,0.19,0.21,0.19,0.18,0.26,0.25,0.26,0.41,0.23,0.25,0.21,0.17,0.17,0.19,0.10
 Synpcc7942_0670 ,0.24,0.17,0.17,0.18,0.21,0.26,0.24,0.27,0.34,0.22,0.21,0.20,0.17,0.17,0.18,0.33
 Synpcc7942_0671 ,0.38,0.33,0.31,0.30,0.40,0.43,0.43,0.41,0.49,0.30,0.24,0.26,0.20,0.26,0.32,0.66
 Synpcc7942_0672 ,0.17,0.11,0.10,0.13,0.16,0.15,0.16,0.16,0.28,0.48,0.51,0.48,0.37,0.29,0.22,0.09
 Synpcc7942_0673 ,0.15,0.13,0.13,0.12,0.14,0.14,0.16,0.15,0.17,0.25,0.21,0.18,0.17,0.14,0.16,0.18
 Synpcc7942_0674 ,0.76,2.38,2.31,2.01,1.31,1.41,1.45,1.31,0.45,1.27,1.31,1.51,1.44,1.48,1.53,1.43
 Synpcc7942_0675 ,0.56,0.51,0.44,0.39,0.42,0.44,0.49,0.46,0.95,0.56,0.61,0.45,0.36,0.37,0.47,0.39
 Synpcc7942_0676 ,0.15,0.18,0.15,0.15,0.12,0.15,0.12,0.13,0.12,0.14,0.15,0.14,0.15,0.13,0.12,0.09
 Synpcc7942_0677 ,1.38,1.51,1.63,1.96,3.00,3.66,3.81,2.96,1.56,0.82,0.86,0.92,1.18,1.81,2.70,18.13
 Synpcc7942_0678 ,0.28,0.42,0.44,0.35,0.27,0.33,0.37,0.32,0.32,0.48,0.43,0.41,0.42,0.35,0.35,0.47
 Synpcc7942_0679 ,43.53,25.66,19.36,19.98,17.85,16.43,16.19,14.72,27.33,27.89,17.22,15.10,13.56,14.02,16.34,14.66
 Synpcc7942_0680 ,0.11,0.15,0.21,0.64,0.77,0.53,0.50,0.30,0.15,0.10,0.11,0.20,0.58,0.74,0.76,0.61
 Synpcc7942_0681 ,0.47,0.49,0.51,0.42,0.40,0.35,0.35,0.38,0.31,0.54,0.47,0.43,0.38,0.29,0.25,0.28
 Synpcc7942_0682 ,0.81,1.06,1.02,0.83,0.64,0.70,0.73,0.86,0.55,1.14,1.18,1.12,0.94,0.79,0.73,0.45
 Synpcc7942_0683 ,0.36,0.33,0.32,0.31,0.27,0.30,0.30,0.36,0.33,0.41,0.39,0.36,0.34,0.34,0.29,0.19
 Synpcc7942_0684 ,0.72,0.51,0.84,0.66,0.36,0.35,0.38,0.47,0.37,0.78,0.77,0.82,0.74,0.56,0.38,0.22
 Synpcc7942_0685 ,3.92,0.63,0.89,1.45,1.33,1.85,2.01,1.51,0.83,4.73,3.73,2.87,2.26,1.92,2.01,0.21
 Synpcc7942_0686 ,0.81,0.46,0.74,1.56,2.20,1.47,1.10,0.89,0.68,0.53,0.47,0.61,1.25,1.80,1.77,1.83
 Synpcc7942_0687 ,0.84,0.43,0.49,0.84,1.18,1.01,0.75,0.73,0.70,0.38,0.42,0.41,0.63,0.78,0.89,0.73
 Synpcc7942_0688 ,0.24,0.07,0.11,0.24,0.29,0.16,0.22,0.16,0.20,0.13,0.09,0.09,0.15,0.20,0.21,0.25
 Synpcc7942_0689 ,0.84,0.56,0.52,0.53,0.63,0.65,0.69,0.57,0.94,0.90,0.77,0.68,0.59,0.59,0.62,0.49
 Synpcc7942_0690 ,2.18,1.58,1.51,1.49,1.93,2.02,2.10,1.76,2.15,2.05,1.91,1.81,1.62,1.88,1.78,1.84
 Synpcc7942_0691 ,0.18,0.18,0.16,0.16,0.14,0.19,0.18,0.17,0.26,0.18,0.15,0.14,0.17,0.12,0.16,0.25
 Synpcc7942_0692 ,0.12,0.07,0.07,0.10,0.08,0.10,0.09,0.10,0.08,0.08,0.05,0.07,0.08,0.11,0.12,0.16
 Synpcc7942_0693 ,0.14,0.10,0.07,0.06,0.07,0.06,0.09,0.09,0.07,0.15,0.17,0.13,0.09,0.09,0.07,0.06
 Synpcc7942_0694 ,11.82,8.18,6.12,6.40,6.55,7.68,8.58,8.05,6.48,16.38,11.68,10.74,7.99,6.99,7.00,4.13
 Synpcc7942_0695 ,1.21,1.65,2.05,2.34,2.22,1.78,1.81,1.55,1.67,1.31,1.30,1.58,1.76,2.14,2.15,3.56
 Synpcc7942_0696 ,7.59,31.93,38.87,36.54,24.78,28.31,26.29,26.21,5.16,30.14,34.55,35.21,29.44,29.78,28.77,25.26
 Synpcc7942_0697 ,8.56,37.19,44.11,43.56,27.70,30.07,28.92,27.55,5.70,33.82,40.62,40.53,35.69,34.06,31.68,28.02
 Synpcc7942_0698 ,0.57,0.50,0.62,0.51,0.47,0.50,0.46,0.48,0.81,0.99,0.91,0.83,0.65,0.57,0.49,0.43
 Synpcc7942_0699 ,4.75,8.45,7.72,7.64,6.73,6.32,6.09,7.49,4.00,6.06,4.72,6.46,6.55,5.90,6.35,6.08
 Synpcc7942_0700 ,0.17,1.06,2.88,3.86,3.58,3.61,3.14,3.17,0.19,0.44,1.59,2.11,2.60,3.19,3.60,9.70
 Synpcc7942_0701 ,0.19,0.24,0.29,0.27,0.40,0.39,0.47,0.43,0.28,0.24,0.36,0.37,0.31,0.33,0.38,0.41
 Synpcc7942_0702 ,0.06,0.06,0.06,0.08,0.13,0.14,0.15,0.13,0.12,0.07,0.14,0.12,0.10,0.14,0.13,0.11
 Synpcc7942_0703 ,0.04,0.05,0.07,0.14,0.42,0.75,0.96,0.85,0.04,0.03,0.02,0.04,0.10,0.26,0.68,3.16
 Synpcc7942_0704 ,0.15,0.15,0.18,0.21,0.42,0.57,0.74,0.57,0.16,0.11,0.12,0.14,0.15,0.30,0.58,1.88
 Synpcc7942_0705 ,0.22,0.29,0.30,0.32,0.55,0.94,0.90,0.75,0.31,0.20,0.21,0.22,0.26,0.41,0.74,2.07
 Synpcc7942_0706 ,0.53,0.27,0.42,0.54,0.45,0.26,0.23,0.23,0.35,0.25,0.26,0.32,0.36,0.26,0.20,0.14
 Synpcc7942_0707 ,0.07,0.04,0.05,0.05,0.06,0.06,0.07,0.08,0.06,0.05,0.03,0.05,0.05,0.04,0.04,0.09
 Synpcc7942_0708 ,2.65,1.42,1.95,1.59,1.15,1.29,1.33,1.27,3.09,1.62,1.72,1.51,1.30,1.09,0.99,0.36
 Synpcc7942_0709 ,1.43,0.40,0.50,0.45,0.38,0.40,0.47,0.53,1.24,0.58,0.66,0.54,0.42,0.40,0.32,0.13
 Synpcc7942_0710 ,1.60,1.55,1.26,1.24,1.16,1.35,1.24,1.44,1.94,1.92,1.84,1.81,1.64,1.78,1.81,1.40
 Synpcc7942_0711 ,0.62,0.52,0.50,0.44,0.31,0.31,0.35,0.38,0.31,0.83,0.67,0.61,0.48,0.40,0.33,0.19
 Synpcc7942_0712 ,2.06,1.50,1.70,1.86,1.73,1.51,1.46,1.28,5.41,1.38,1.51,1.67,2.09,2.33,2.38,2.99
 Synpcc7942_0713 ,0.43,0.63,0.60,0.61,0.53,0.57,0.54,0.54,0.44,0.75,0.71,0.74,0.66,0.65,0.67,0.84
 Synpcc7942_0714 ,0.17,0.12,0.15,0.15,0.16,0.20,0.17,0.17,0.22,0.11,0.11,0.09,0.10,0.12,0.16,0.32
 Synpcc7942_0715 ,1.39,1.59,3.46,3.52,1.98,0.90,0.70,0.78,1.27,1.18,2.09,2.12,2.48,2.03,1.18,0.33
 Synpcc7942_0716 ,0.76,0.31,0.22,0.22,0.21,0.18,0.18,0.20,0.49,0.21,0.21,0.18,0.21,0.19,0.15,0.13
 Synpcc7942_0717 ,0.01,0.01,0.02,0.01,0.01,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02
 Synpcc7942_0718 ,0.01,0.02,0.02,0.02,0.01,0.01,0.02,0.02,0.01,0.00,0.01,0.01,0.01,0.02,0.01,0.02
 Synpcc7942_0719 ,0.01,0.00,0.00,0.01,0.02,0.01,0.00,0.02,0.01,0.01,0.01,0.00,0.00,0.00,0.01,0.02
 Synpcc7942_0720 ,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.01,0.00,0.00,0.01
 Synpcc7942_0721 ,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
 Synpcc7942_0722 ,0.02,0.02,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.02,0.01,0.02,0.02,0.02,0.01
 Synpcc7942_0723 ,0.42,0.48,0.56,0.62,0.69,0.63,0.55,0.63,0.42,0.48,0.43,0.43,0.53,0.53,0.61,0.94
 Synpcc7942_0724 ,0.07,0.01,0.03,0.01,0.02,0.03,0.04,0.02,0.04,0.01,0.02,0.02,0.02,0.01,0.02,0.04
 Synpcc7942_0725 ,0.03,0.03,0.03,0.02,0.04,0.03,0.04,0.04,0.04,0.02,0.01,0.02,0.01,0.03,0.03,0.09
 Synpcc7942_0726 ,0.00,0.00,0.01,0.00,0.00,0.01,0.01,0.00,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01
 Synpcc7942_0727 ,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
 Synpcc7942_0728 ,0.84,0.66,0.56,0.55,0.83,0.83,0.84,0.87,1.32,0.48,0.46,0.51,0.60,0.77,0.87,1.69
 Synpcc7942_0729 ,0.30,0.12,0.12,0.16,0.21,0.21,0.22,0.20,0.43,0.12,0.12,0.16,0.18,0.19,0.21,0.33
 Synpcc7942_0730 ,0.08,0.04,0.06,0.04,0.08,0.07,0.08,0.08,0.15,0.06,0.07,0.05,0.07,0.06,0.07,0.18
 Synpcc7942_0731 ,0.02,0.01,0.01,0.02,0.01,0.02,0.02,0.01,0.04,0.01,0.01,0.01,0.01,0.01,0.02,0.02
 Synpcc7942_0732 ,0.14,0.14,0.18,0.17,0.23,0.20,0.27,0.32,0.29,0.15,0.18,0.17,0.18,0.15,0.23,0.58
 Synpcc7942_0733 ,0.18,0.15,0.17,0.15,0.19,0.18,0.20,0.17,0.37,0.17,0.18,0.17,0.15,0.18,0.23,0.43
 Synpcc7942_0734 ,0.47,0.39,0.53,0.53,0.49,0.49,0.47,0.47,0.93,0.55,0.92,0.93,0.85,0.86,0.83,1.09
 Synpcc7942_0735 ,0.59,0.48,0.55,0.49,0.52,0.53,0.48,0.49,1.16,0.57,1.01,0.97,0.86,0.84,0.76,1.03
 Synpcc7942_0736 ,0.52,0.46,0.56,0.60,0.62,0.46,0.45,0.46,1.18,0.59,0.95,0.96,0.91,0.83,0.76,0.94
 Synpcc7942_0737 ,0.44,0.27,0.34,0.40,0.32,0.33,0.34,0.36,0.71,0.44,0.77,0.64,0.56,0.59,0.58,0.61
 Synpcc7942_0738 ,0.23,0.12,0.16,0.17,0.17,0.21,0.15,0.18,0.46,0.21,0.28,0.28,0.22,0.25,0.20,0.20
 Synpcc7942_0739 ,0.20,0.11,0.09,0.08,0.14,0.14,0.09,0.14,0.40,0.14,0.20,0.18,0.17,0.11,0.13,0.15
 Synpcc7942_0740 ,0.15,0.09,0.10,0.08,0.10,0.11,0.10,0.07,0.30,0.09,0.15,0.11,0.12,0.13,0.12,0.12
 Synpcc7942_0741 ,0.14,0.08,0.07,0.08,0.10,0.09,0.09,0.10,0.30,0.07,0.11,0.10,0.09,0.09,0.11,0.15
 Synpcc7942_0742 ,0.37,0.26,0.27,0.23,0.25,0.27,0.27,0.39,0.43,0.26,0.31,0.28,0.26,0.30,0.32,0.63
 Synpcc7942_0743 ,0.18,0.17,0.19,0.19,0.20,0.22,0.21,0.26,0.35,0.24,0.29,0.26,0.27,0.27,0.29,0.55
 Synpcc7942_0744 ,0.18,0.17,0.17,0.16,0.14,0.18,0.19,0.21,0.29,0.18,0.19,0.19,0.20,0.21,0.21,0.40
 Synpcc7942_0745 ,0.24,0.17,0.20,0.18,0.18,0.22,0.24,0.24,0.36,0.21,0.26,0.24,0.23,0.23,0.26,0.41
 Synpcc7942_0746 ,0.18,0.13,0.13,0.16,0.16,0.21,0.19,0.20,0.35,0.19,0.24,0.23,0.21,0.21,0.27,0.34
 Synpcc7942_0747 ,0.67,0.64,0.83,0.78,0.55,0.59,0.60,0.68,1.04,1.11,1.91,1.69,1.48,1.33,1.20,1.24
 Synpcc7942_0748 ,0.61,0.67,0.77,0.77,0.50,0.57,0.59,0.68,1.05,1.06,1.85,1.70,1.23,1.24,1.18,1.07
 Synpcc7942_0749 ,0.70,0.74,0.81,0.74,0.60,0.69,0.68,0.82,1.33,1.00,1.86,1.53,1.40,1.27,1.19,1.11
 Synpcc7942_0750 ,0.21,0.19,0.19,0.19,0.15,0.17,0.19,0.22,0.31,0.24,0.41,0.32,0.31,0.29,0.27,0.32
 Synpcc7942_0751 ,0.15,0.08,0.09,0.08,0.08,0.09,0.08,0.14,0.17,0.10,0.17,0.13,0.16,0.13,0.13,0.14
 Synpcc7942_0752 ,0.19,0.07,0.08,0.12,0.12,0.06,0.11,0.09,0.17,0.18,0.25,0.24,0.20,0.19,0.15,0.12
 Synpcc7942_0753 ,0.08,0.04,0.05,0.06,0.06,0.07,0.08,0.09,0.17,0.11,0.12,0.10,0.10,0.11,0.10,0.11
 Synpcc7942_0754 ,0.06,0.03,0.03,0.04,0.05,0.04,0.03,0.02,0.07,0.02,0.01,0.02,0.02,0.02,0.01,0.03
 Synpcc7942_0755 ,0.08,0.05,0.07,0.02,0.04,0.03,0.03,0.04,0.18,0.13,0.14,0.07,0.06,0.04,0.05,0.06
 Synpcc7942_0756 ,0.18,0.16,0.17,0.13,0.17,0.14,0.16,0.15,0.32,0.19,0.21,0.18,0.19,0.24,0.19,0.33
 Synpcc7942_0757 ,0.09,0.11,0.18,0.13,0.16,0.11,0.19,0.04,0.28,0.22,0.15,0.15,0.16,0.15,0.15,0.18
