Gene ID,0.5_lowLight,2_lowLight,4_lowLight,6_lowLight,8_lowLight,9_lowLight,10_lowLight,12_lowLight,0.5_ClearLight,2_ClearLight,4_ClearLight,6_ClearLight,8_ClearLight,9_ClearLight,10_ClearLight,12_ClearLight
 Synpcc7942_0056 ,0.11,0.09,0.13,0.18,0.23,0.18,0.20,0.11,0.33,0.10,0.08,0.13,0.17,0.20,0.24,0.21
 Synpcc7942_0057 ,0.13,0.10,0.12,0.11,0.17,0.14,0.14,0.10,0.28,0.07,0.09,0.10,0.13,0.11,0.17,0.20
 Synpcc7942_0058 ,0.16,0.17,0.16,0.22,0.21,0.25,0.28,0.26,0.31,0.12,0.15,0.12,0.16,0.23,0.29,0.58
 Synpcc7942_0059 ,0.47,0.39,0.44,0.52,0.58,0.56,0.60,0.81,0.61,0.27,0.28,0.32,0.51,0.53,0.61,1.55
 Synpcc7942_0060 ,0.28,0.17,0.15,0.23,0.20,0.26,0.22,0.28,0.31,0.16,0.14,0.17,0.24,0.25,0.32,0.58
 Synpcc7942_0061 ,0.18,0.13,0.17,0.20,0.17,0.13,0.15,0.12,0.16,0.11,0.11,0.14,0.20,0.22,0.24,0.27
 Synpcc7942_0062 ,0.19,0.28,0.33,0.34,0.35,0.27,0.38,0.20,0.24,0.18,0.17,0.25,0.42,0.53,0.51,0.93
 Synpcc7942_0063 ,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.04,0.05,0.02,0.02,0.04,0.01,0.02,0.02,0.04
 Synpcc7942_0064 ,0.12,0.03,0.03,0.06,0.04,0.04,0.07,0.06,0.14,0.14,0.16,0.11,0.10,0.08,0.12,0.02
 Synpcc7942_0065 ,2.60,2.98,3.29,3.91,3.97,3.46,3.69,3.53,2.78,2.92,2.91,3.19,3.42,3.63,3.79,4.44
 Synpcc7942_0066 ,0.26,0.15,0.17,0.14,0.13,0.14,0.12,0.11,0.27,0.17,0.17,0.15,0.15,0.13,0.11,0.10
 Synpcc7942_0067 ,0.29,0.24,0.17,0.19,0.15,0.18,0.18,0.17,0.33,0.24,0.22,0.22,0.19,0.15,0.17,0.16
 Synpcc7942_0068 ,0.33,0.17,0.20,0.19,0.16,0.12,0.10,0.12,0.32,0.12,0.20,0.18,0.19,0.15,0.12,0.06
 Synpcc7942_0069 ,0.05,0.07,0.10,0.14,0.68,0.98,1.21,0.92,0.09,0.03,0.02,0.03,0.09,0.24,0.65,6.22
 Synpcc7942_0070 ,0.19,0.26,0.18,0.18,0.13,0.16,0.17,0.18,0.18,0.36,0.31,0.29,0.22,0.17,0.15,0.10
 Synpcc7942_0071 ,0.36,0.65,0.51,0.44,0.36,0.36,0.37,0.38,0.26,0.66,0.57,0.56,0.44,0.37,0.34,0.24
 Synpcc7942_0072 ,0.45,0.40,0.33,0.38,0.28,0.35,0.30,0.34,0.43,0.40,0.41,0.42,0.32,0.37,0.34,0.21
 Synpcc7942_0073 ,0.61,0.60,0.51,0.54,0.54,0.50,0.51,0.50,0.71,0.64,0.64,0.61,0.62,0.58,0.61,0.58
 Synpcc7942_0074 ,0.03,0.05,0.05,0.04,0.01,0.02,0.05,0.02,0.02,0.01,0.03,0.03,0.04,0.01,0.02,0.02
